station_id,year,h_month,type,level,flow,temperature,month
150190180,2023,1,1,124,6,99.9,11
150190180,2023,1,2,134,8,99.9,11
150190180,2023,1,3,154,13,99.9,11
150190180,2023,2,1,128,7,99.9,12
150190180,2023,2,2,154,13,99.9,12
150190180,2023,2,3,198,26,99.9,12
150190180,2023,3,1,147,11,99.9,1
150190180,2023,3,2,164,15,99.9,1
150190180,2023,3,3,189,23,99.9,1
150190180,2023,4,1,155,13,99.9,2
150190180,2023,4,2,177,19,99.9,2
150190180,2023,4,3,229,36,99.9,2
150190180,2023,5,1,144,11,99.9,3
150190180,2023,5,2,162,15,99.9,3
150190180,2023,5,3,200,27,99.9,3
150190180,2023,6,1,144,11,99.9,4
150190180,2023,6,2,157,14,99.9,4
150190180,2023,6,3,182,21,99.9,4
150190180,2023,7,1,136,9,99.9,5
150190180,2023,7,2,156,14,99.9,5
150190180,2023,7,3,257,45,99.9,5
150190180,2023,8,1,131,8,99.9,6
150190180,2023,8,2,143,11,99.9,6
150190180,2023,8,3,256,44,99.9,6
150190180,2023,9,1,129,7,99.9,7
150190180,2023,9,2,140,10,99.9,7
150190180,2023,9,3,204,28,99.9,7
150190180,2023,10,1,128,7,99.9,8
150190180,2023,10,2,147,12,99.9,8
150190180,2023,10,3,256,44,99.9,8
150190180,2023,11,1,126,7,99.9,9
150190180,2023,11,2,137,9,99.9,9
150190180,2023,11,3,185,22,99.9,9
150190180,2023,12,1,127,7,99.9,10
150190180,2023,12,2,139,10,99.9,10
150190180,2023,12,3,196,25,99.9,10
150190180,2022,1,1,145,11,99.9,11
150190180,2022,1,2,156,14,99.9,11
150190180,2022,1,3,183,21,99.9,11
150190180,2022,2,1,138,10,99.9,12
150190180,2022,2,2,154,13,99.9,12
150190180,2022,2,3,176,19,99.9,12
150190180,2022,3,1,137,9,99.9,1
150190180,2022,3,2,154,13,99.9,1
150190180,2022,3,3,181,21,99.9,1
150190180,2022,4,1,156,13,99.9,2
150190180,2022,4,2,176,19,99.9,2
150190180,2022,4,3,230,36,99.9,2
150190180,2022,5,1,135,9,99.9,3
150190180,2022,5,2,146,11,99.9,3
150190180,2022,5,3,174,19,99.9,3
150190180,2022,6,1,144,11,99.9,4
150190180,2022,6,2,160,15,99.9,4
150190180,2022,6,3,208,29,99.9,4
150190180,2022,7,1,124,6,99.9,5
150190180,2022,7,2,139,10,99.9,5
150190180,2022,7,3,242,40,99.9,5
150190180,2022,8,1,123,6,99.9,6
150190180,2022,8,2,143,11,99.9,6
150190180,2022,8,3,202,27,99.9,6
150190180,2022,9,1,123,6,99.9,7
150190180,2022,9,2,136,9,99.9,7
150190180,2022,9,3,189,23,99.9,7
150190180,2022,10,1,122,6,99.9,8
150190180,2022,10,2,140,10,99.9,8
150190180,2022,10,3,253,44,99.9,8
150190180,2022,11,1,126,7,99.9,9
150190180,2022,11,2,149,12,99.9,9
150190180,2022,11,3,232,37,99.9,9
150190180,2022,12,1,127,7,99.9,10
150190180,2022,12,2,142,10,99.9,10
150190180,2022,12,3,171,18,99.9,10
150190180,2021,1,1,149,12,99.9,11
150190180,2021,1,2,166,16,99.9,11
150190180,2021,1,3,220,33,99.9,11
150190180,2021,2,1,148,12,99.9,12
150190180,2021,2,2,157,14,99.9,12
150190180,2021,2,3,201,27,99.9,12
150190180,2021,3,1,154,13,99.9,1
150190180,2021,3,2,170,17,99.9,1
150190180,2021,3,3,191,24,99.9,1
150190180,2021,4,1,164,15,99.9,2
150190180,2021,4,2,183,21,99.9,2
150190180,2021,4,3,206,29,99.9,2
150190180,2021,5,1,154,13,99.9,3
150190180,2021,5,2,168,17,99.9,3
150190180,2021,5,3,188,23,99.9,3
150190180,2021,6,1,149,12,99.9,4
150190180,2021,6,2,169,17,99.9,4
150190180,2021,6,3,207,29,99.9,4
150190180,2021,7,1,154,13,99.9,5
150190180,2021,7,2,178,20,99.9,5
150190180,2021,7,3,232,37,99.9,5
150190180,2021,8,1,140,10,99.9,6
150190180,2021,8,2,157,14,99.9,6
150190180,2021,8,3,223,34,99.9,6
150190180,2021,9,1,140,10,99.9,7
150190180,2021,9,2,153,13,99.9,7
150190180,2021,9,3,244,41,99.9,7
150190180,2021,10,1,148,12,99.9,8
150190180,2021,10,2,173,19,99.9,8
150190180,2021,10,3,339,77,99.9,8
150190180,2021,11,1,154,13,99.9,9
150190180,2021,11,2,179,20,99.9,9
150190180,2021,11,3,301,60,99.9,9
150190180,2021,12,1,146,11,99.9,10
150190180,2021,12,2,155,13,99.9,10
150190180,2021,12,3,198,26,99.9,10
150190180,2020,1,1,139,10,7,11
150190180,2020,1,2,147,12,9,11
150190180,2020,1,3,183,22,10.4,11
150190180,2020,2,1,138,10,5.5,12
150190180,2020,2,2,149,12,6.8,12
150190180,2020,2,3,188,23,7.8,12
150190180,2020,3,1,140,10,4.5,1
150190180,2020,3,2,148,12,5.8,1
150190180,2020,3,3,165,16,7,1
150190180,2020,4,1,146,11,4.5,2
150190180,2020,4,2,162,16,6,2
150190180,2020,4,3,233,37,8,2
150190180,2020,5,1,142,10,4.5,3
150190180,2020,5,2,156,14,5.9,3
150190180,2020,5,3,186,23,8.5,3
150190180,2020,6,1,135,9,6.5,4
150190180,2020,6,2,145,11,9.6,4
150190180,2020,6,3,224,35,13,4
150190180,2020,7,1,137,9,11,5
150190180,2020,7,2,151,13,12.4,5
150190180,2020,7,3,214,31,14.5,5
150190180,2020,8,1,140,10,12,6
150190180,2020,8,2,161,16,14.8,6
150190180,2020,8,3,259,45,17,6
150190180,2020,9,1,147,11,14.5,7
150190180,2020,9,2,168,17,16.2,7
150190180,2020,9,3,262,46,17.5,7
150190180,2020,10,1,138,10,14,8
150190180,2020,10,2,151,13,16.8,8
150190180,2020,10,3,246,41,18.5,8
150190180,2020,11,1,141,10,12.8,9
150190180,2020,11,2,155,13,15.6,9
150190180,2020,11,3,251,43,18.5,9
150190180,2020,12,1,149,12,10.8,10
150190180,2020,12,2,181,21,13.6,10
150190180,2020,12,3,275,51,15.5,10
150190180,2019,1,1,133,9,3,11
150190180,2019,1,2,142,11,8.5,11
150190180,2019,1,3,156,14,12.3,11
150190180,2019,2,1,137,9,2.1,12
150190180,2019,2,2,151,13,4,12
150190180,2019,2,3,184,22,6.6,12
150190180,2019,3,1,146,11,2.3,1
150190180,2019,3,2,161,15,4.3,1
150190180,2019,3,3,203,28,5.4,1
150190180,2019,4,1,147,12,2.3,2
150190180,2019,4,2,165,16,4.2,2
150190180,2019,4,3,188,23,5.8,2
150190180,2019,5,1,149,12,2.7,3
150190180,2019,5,2,159,15,3.8,3
150190180,2019,5,3,187,23,9.1,3
150190180,2019,6,1,137,9,3.1,4
150190180,2019,6,2,150,12,4,4
150190180,2019,6,3,194,25,8.7,4
150190180,2019,7,1,144,11,8.3,5
150190180,2019,7,2,178,21,10.4,5
150190180,2019,7,3,282,53,12.5,5
150190180,2019,8,1,139,10,10.4,6
150190180,2019,8,2,153,13,12.6,6
150190180,2019,8,3,193,25,18,6
150190180,2019,9,1,134,9,12.4,7
150190180,2019,9,2,143,11,15.2,7
150190180,2019,9,3,278,52,17.9,7
150190180,2019,10,1,135,9,15,8
150190180,2019,10,2,147,12,16.8,8
150190180,2019,10,3,257,45,18,8
150190180,2019,11,1,138,10,12,9
150190180,2019,11,2,150,12,14.5,9
150190180,2019,11,3,217,32,17,9
150190180,2019,12,1,138,10,8.8,10
150190180,2019,12,2,144,11,11.9,10
150190180,2019,12,3,183,22,14,10
150190180,2018,1,1,161,15,6.1,11
150190180,2018,1,2,175,19,8.1,11
150190180,2018,1,3,198,25,10.2,11
150190180,2018,2,1,162,16,5,12
150190180,2018,2,2,177,19,5.9,12
150190180,2018,2,3,205,27,7.8,12
150190180,2018,3,1,155,14,3,1
150190180,2018,3,2,168,17,5.9,1
150190180,2018,3,3,194,24,8,1
150190180,2018,4,1,152,13,0.1,2
150190180,2018,4,2,166,16,2.4,2
150190180,2018,4,3,199,25,6.1,2
150190180,2018,5,1,151,13,0.1,3
150190180,2018,5,2,159,15,3.3,3
150190180,2018,5,3,188,22,6.5,3
150190180,2018,6,1,140,10,4.6,4
150190180,2018,6,2,153,13,9.6,4
150190180,2018,6,3,190,23,13.2,4
150190180,2018,7,1,138,10,10.8,5
150190180,2018,7,2,150,13,13,5
150190180,2018,7,3,220,31,15.1,5
150190180,2018,8,1,133,9,12.6,6
150190180,2018,8,2,145,11,14.6,6
150190180,2018,8,3,191,23,16.6,6
150190180,2018,9,1,135,9,12.6,7
150190180,2018,9,2,150,13,15.1,7
150190180,2018,9,3,224,32,16.6,7
150190180,2018,10,1,134,9,12.8,8
150190180,2018,10,2,144,11,15.7,8
150190180,2018,10,3,183,21,17.9,8
150190180,2018,11,1,135,9,11.9,9
150190180,2018,11,2,146,12,14.5,9
150190180,2018,11,3,200,25,16.5,9
150190180,2018,12,1,130,8,9.1,10
150190180,2018,12,2,144,11,11.7,10
150190180,2018,12,3,202,26,13.3,10
150190180,2017,1,1,145,11,3.5,11
150190180,2017,1,2,154,13,5.8,11
150190180,2017,1,3,180,20,7.7,11
150190180,2017,2,1,150,13,1.3,12
150190180,2017,2,2,162,16,3,12
150190180,2017,2,3,218,30,5.5,12
150190180,2017,3,1,142,11,0.5,1
150190180,2017,3,2,152,13,1.5,1
150190180,2017,3,3,162,16,3,1
150190180,2017,4,1,137,9,1.2,2
150190180,2017,4,2,156,14,2.9,2
150190180,2017,4,3,211,28,4.5,2
150190180,2017,5,1,152,13,4.1,3
150190180,2017,5,2,169,17,5.3,3
150190180,2017,5,3,223,32,8.1,3
150190180,2017,6,1,149,12,4.3,4
150190180,2017,6,2,170,18,7.4,4
150190180,2017,6,3,279,52,10.1,4
150190180,2017,7,1,151,13,6.8,5
150190180,2017,7,2,178,20,10.4,5
150190180,2017,7,3,213,29,14.7,5
150190180,2017,8,1,138,10,10.8,6
